#Chromosome	Start	End	type	name	name2
chr3L	1774941	1803177	RAID5	5200175	956000350
chr3L	1856439	1970407	RAID5	5200176	956000352
chr3L	2107037	2258231	RAID5	5200177	956000354
chr3L	2377322	2636629	RAID5	5200178	956000356
chr3L	2797589	2879967	RAID5	5200179	956000358
chr3L	3034586	3632504	RAID5	5200180	956000360
chr3L	3765237	3810312	RAID5	5200181	956000362
chr3L	3818055	4103495	RAID5	5200182	956000364
chr3L	4107739	4187213	RAID5	5200183	956000366
chr3L	4219480	4259939	RAID5	5200184	956000368
chr3L	4262043	4415550	RAID5	5200185	956000370
chr3L	4532548	4626835	RAID5	5200186	956000372
chr3L	5127329	5145952	RAID5	5200187	956000374
chr3L	5164589	5308186	RAID5	5200188	956000376
chr3L	5335053	5359276	RAID5	5200189	956000378
chr3L	5554183	5597908	RAID5	5200190	956000380
chr3L	5602698	5649356	RAID5	5200191	956000382
chr3L	5742767	5804595	RAID5	5200192	956000384
chr3L	5812934	5969504	RAID5	5200193	956000386
chr3L	6166623	6258398	RAID5	5200194	956000388
chr3L	6340575	6395064	RAID5	5200195	956000390
chr3L	6488159	6554205	RAID5	5200196	956000392
chr3L	6734494	6749737	RAID5	5200197	956000394
chr3L	6935638	6982765	RAID5	5200198	956000396
chr3L	6991594	7004943	RAID5	5200199	956000398
chr3L	7087333	7428600	RAID5	5200200	956000400
chr3L	7633736	7871323	RAID5	5200201	956000402
chr3L	7895484	8152136	RAID5	5200202	956000404
chr3L	8170787	8555075	RAID5	5200203	956000406
chr3L	8569073	8627332	RAID5	5200204	956000408
chr3L	8644795	8941562	RAID5	5200205	956000410
chr3L	8946134	9128282	RAID5	5200206	956000412
chr3L	9326389	9720393	RAID5	5200207	956000414
chr3L	9829405	9966261	RAID5	5200208	956000416
chr3L	10239315	10399445	RAID5	5200209	956000418
chr3L	10501084	10535323	RAID5	5200210	956000420
chr3L	10630541	10892744	RAID5	5200211	956000422
chr3L	11052531	11155051	RAID5	5200212	956000424
chr3L	11162283	11208374	RAID5	5200213	956000426
chr3L	11232694	11567972	RAID5	5200214	956000428
chr3L	11579646	11714613	RAID5	5200215	956000430
chr3L	11782148	11827168	RAID5	5200216	956000432
chr3L	12048931	12109436	RAID5	5200217	956000434
chr3L	12117348	12140143	RAID5	5200218	956000436
chr3L	12141364	12538611	RAID5	5200219	956000438
chr3L	12573416	12706446	RAID5	5200220	956000440
chr3L	12726876	12837022	RAID5	5200221	956000442
chr3L	12999368	13037961	RAID5	5200222	956000444
chr3L	13203778	13283628	RAID5	5200223	956000446
chr3L	13405420	13496566	RAID5	5200224	956000448
chr3L	13897623	14093439	RAID5	5200225	956000450
chr3L	14104514	14474527	RAID5	5200226	956000452
chr3L	14505619	14553157	RAID5	5200227	956000454
chr3L	14555600	14812893	RAID5	5200228	956000456
chr3L	14937673	15298767	RAID5	5200229	956000458
chr3L	15493282	15578824	RAID5	5200230	956000460
chr3L	15580611	15624576	RAID5	5200231	956000462
chr3L	15807912	15827794	RAID5	5200232	956000464
chr3L	15917905	16131712	RAID5	5200233	956000466
chr3L	16132326	16205943	RAID5	5200234	956000468
chr3L	16463262	16488485	RAID5	5200235	956000470
chr3L	16567286	17044456	RAID5	5200236	956000472
chr3L	17392041	17585906	RAID5	5200237	956000474
chr3L	17595542	17760828	RAID5	5200238	956000476
chr3L	17794975	18077342	RAID5	5200239	956000478
chr3L	18132202	18228764	RAID5	5200240	956000480
chr3L	18610037	19229847	RAID5	5200241	956000482
chr3L	19247953	19286334	RAID5	5200242	956000484
chr3L	19545149	19643484	RAID5	5200243	956000486
chr3L	19769173	20022109	RAID5	5200244	956000488
chr3L	20176052	20203917	RAID5	5200245	956000490
chr3L	20219128	20350403	RAID5	5200246	956000492
chr3L	20368133	20398295	RAID5	5200247	956000494
chr3L	20398880	20534030	RAID5	5200248	956000496
chr3L	20613512	20835571	RAID5	5200249	956000498
chr3L	20848668	21129338	RAID5	5200250	956000500
chr3L	21165051	21273761	RAID5	5200251	956000502
chr3L	21279055	21473651	RAID5	5200252	956000504
chr3L	21486118	21722132	RAID5	5200253	956000506
chr3L	21731716	21956859	RAID5	5200254	956000508
chr3L	22128455	22185516	RAID5	5200255	956000510
chr3L	22255682	22282606	RAID5	5200256	956000512
chr3L	22347839	22414632	RAID5	5200257	956000514
chr3L	22710006	22942311	RAID5	5200258	956000516
chr3L	23083769	23177698	RAID5	5200259	956000518
chr3R	22222	392579	RAID5	5300260	956000520
chr3R	465612	601728	RAID5	5300261	956000522
chr3R	624841	647213	RAID5	5300262	956000524
chr3R	731573	788805	RAID5	5300263	956000526
chr3R	867295	924063	RAID5	5300264	956000528
chr3R	952666	1109124	RAID5	5300265	956000530
chr3R	1122720	1617657	RAID5	5300266	956000532
chr3R	2170992	2283431	RAID5	5300267	956000534
chr3R	2471746	2486689	RAID5	5300268	956000536
chr3R	2891694	2950713	RAID5	5300269	956000538
chr3R	3297648	3375386	RAID5	5300270	956000540
chr3R	3574837	3629867	RAID5	5300271	956000542
chr3R	3711265	3953741	RAID5	5300272	956000544
chr3R	4058731	4088373	RAID5	5300273	956000546
chr3R	4090335	4188835	RAID5	5300274	956000548
chr3R	4476383	5064119	RAID5	5300275	956000550
chr3R	5064952	5161398	RAID5	5300276	956000552
chr3R	5162568	5635736	RAID5	5300277	956000554
chr3R	5691556	5781328	RAID5	5300278	956000556
chr3R	5849018	5896616	RAID5	5300279	956000558
chr3R	5902436	6182476	RAID5	5300280	956000560
chr3R	6203500	6239482	RAID5	5300281	956000562
chr3R	6361327	6448256	RAID5	5300282	956000564
chr3R	6640210	6719932	RAID5	5300283	956000566
chr3R	6953049	7070515	RAID5	5300284	956000568
chr3R	7163851	7198795	RAID5	5300285	956000570
chr3R	7233304	7261981	RAID5	5300286	956000572
chr3R	7383497	7505874	RAID5	5300287	956000574
chr3R	7524237	7645587	RAID5	5300288	956000576
chr3R	7711487	7845272	RAID5	5300289	956000578
chr3R	7904246	7947258	RAID5	5300290	956000580
chr3R	8068850	8107920	RAID5	5300291	956000582
chr3R	8181470	8290457	RAID5	5300292	956000584
chr3R	8499734	8547712	RAID5	5300293	956000586
chr3R	8774854	8914478	RAID5	5300294	956000588
chr3R	9081721	9371532	RAID5	5300295	956000590
chr3R	9469866	9512244	RAID5	5300296	956000592
chr3R	9540380	9606817	RAID5	5300297	956000594
chr3R	9793407	9910315	RAID5	5300298	956000596
chr3R	10104423	10337879	RAID5	5300299	956000598
chr3R	10400877	10633809	RAID5	5300300	956000600
chr3R	10905697	11127293	RAID5	5300301	956000602
chr3R	11145800	11375102	RAID5	5300302	956000604
chr3R	11466677	11522003	RAID5	5300303	956000606
chr3R	11612147	12185472	RAID5	5300304	956000608
chr3R	12267375	12482410	RAID5	5300305	956000610
chr3R	12723689	12774825	RAID5	5300306	956000612
chr3R	12811407	12911540	RAID5	5300307	956000614
chr3R	12934564	12972681	RAID5	5300308	956000616
chr3R	13211233	13227532	RAID5	5300309	956000618
chr3R	13496375	13635446	RAID5	5300310	956000620
chr3R	13886194	13960997	RAID5	5300311	956000622
chr3R	13989530	14125086	RAID5	5300312	956000624
chr3R	14222885	14584989	RAID5	5300313	956000626
chr3R	14607525	14620997	RAID5	5300314	956000628
chr3R	14723145	14850501	RAID5	5300315	956000630
chr3R	14886018	15051831	RAID5	5300316	956000632
chr3R	15239396	15298731	RAID5	5300317	956000634
chr3R	15394324	15470581	RAID5	5300318	956000636
chr3R	15615590	15735664	RAID5	5300319	956000638
chr3R	15815858	15862197	RAID5	5300320	956000640
chr3R	16066839	16154740	RAID5	5300321	956000642
chr3R	16362719	16414881	RAID5	5300322	956000644
chr3R	16418290	16461157	RAID5	5300323	956000646
chr3R	16560600	16622080	RAID5	5300324	956000648
chr3R	16647466	16937863	RAID5	5300325	956000650
chr3R	16938605	16964995	RAID5	5300326	956000652
chr3R	16965642	17286115	RAID5	5300327	956000654
chr3R	17405219	17564212	RAID5	5300328	956000656
chr3R	17602658	17713311	RAID5	5300329	956000658
chr3R	17844300	17894049	RAID5	5300330	956000660
chr3R	17947942	17985197	RAID5	5300331	956000662
chr3R	18181928	18406618	RAID5	5300332	956000664
chr3R	18412986	18608492	RAID5	5300333	956000666
chr3R	18823921	19174078	RAID5	5300334	956000668
chr3R	19429098	19932004	RAID5	5300335	956000670
chr3R	19955369	20013314	RAID5	5300336	956000672
chr3R	20018989	20186719	RAID5	5300337	956000674
chr3R	20343304	20485809	RAID5	5300338	956000676
chr3R	20487282	20923637	RAID5	5300339	956000678
chr3R	21046598	21180186	RAID5	5300340	956000680
chr3R	21262309	21378729	RAID5	5300341	956000682
chr3R	21449981	21513590	RAID5	5300342	956000684
chr3R	21544824	21586377	RAID5	5300343	956000686
chr3R	21783136	21885901	RAID5	5300344	956000688
chr3R	21929995	21955987	RAID5	5300345	956000690
chr3R	22013089	22087490	RAID5	5300346	956000692
chr3R	22266151	22378685	RAID5	5300347	956000694
chr3R	22611061	23054576	RAID5	5300348	956000696
chr3R	23078295	23118893	RAID5	5300349	956000698
chr3R	23383660	23462838	RAID5	5300350	956000700
chr3R	23502843	23533426	RAID5	5300351	956000702
chr3R	23742006	23784103	RAID5	5300352	956000704
chr3R	24144208	24166204	RAID5	5300353	956000706
chr3R	24370697	24498226	RAID5	5300354	956000708
chr3R	24637349	24748856	RAID5	5300355	956000710
chr3R	24852481	25121356	RAID5	5300356	956000712
chr3R	25217657	25418072	RAID5	5300357	956000714
chr3R	25507698	25759595	RAID5	5300358	956000716
chr3R	25817834	25882232	RAID5	5300359	956000718
chr3R	25883866	26003434	RAID5	5300360	956000720
chr3R	26023272	26042588	RAID5	5300361	956000722
chr3R	26102186	26167194	RAID5	5300362	956000724
chr3R	26180760	26403022	RAID5	5300363	956000726
chr3R	26559386	26713973	RAID5	5300364	956000728
chr3R	27209801	27263824	RAID5	5300365	956000730
chr3R	27397331	27437535	RAID5	5300366	956000732
chr3R	27513649	27636210	RAID5	5300367	956000734
chr3R	27810492	27895049	RAID5	5300368	956000736
chr4	148844	231977	RAID5	5400369	956000738
chr4	328693	381172	RAID5	5400370	956000740
chr4	464224	502936	RAID5	5400371	956000742
chr4	510080	717869	RAID5	5400372	956000744
chr4	886614	1218909	RAID5	5400373	956000746
chrX	370866	417865	RAID5	5500374	956000748
chrX	514145	551014	RAID5	5500375	956000750
chrX	580061	651047	RAID5	5500376	956000752
chrX	658774	695920	RAID5	5500377	956000754
chrX	820690	945789	RAID5	5500378	956000756
chrX	1133713	1180466	RAID5	5500379	956000758
chrX	1235662	1294361	RAID5	5500380	956000760
chrX	1472016	1517679	RAID5	5500381	956000762
chrX	1718086	1817246	RAID5	5500382	956000764
chrX	1905994	1998760	RAID5	5500383	956000766
chrX	2015215	2035549	RAID5	5500384	956000768
chrX	2066520	2164991	RAID5	5500385	956000770
chrX	2168980	2230862	RAID5	5500386	956000772
chrX	2502693	2569489	RAID5	5500387	956000774
chrX	2991058	3082493	RAID5	5500388	956000776
chrX	3182644	3227822	RAID5	5500389	956000778
chrX	3237846	3347278	RAID5	5500390	956000780
chrX	3467373	3675311	RAID5	5500391	956000782
chrX	3704741	3735860	RAID5	5500392	956000784
chrX	3745626	3776558	RAID5	5500393	956000786
chrX	3999833	4014607	RAID5	5500394	956000788
chrX	4304957	4321300	RAID5	5500395	956000790
chrX	4471731	4521544	RAID5	5500396	956000792
chrX	4581741	4597412	RAID5	5500397	956000794
chrX	5313743	5412047	RAID5	5500398	956000796
chrX	5515496	5658717	RAID5	5500399	956000798
chrX	5773629	5831143	RAID5	5500400	956000800
chrX	5848188	5929638	RAID5	5500401	956000802
chrX	6118260	6189829	RAID5	5500402	956000804
chrX	6195193	6260392	RAID5	5500403	956000806
chrX	6434172	6468725	RAID5	5500404	956000808
chrX	6483946	6549025	RAID5	5500405	956000810
chrX	6593032	6623435	RAID5	5500406	956000812
chrX	6636887	6738781	RAID5	5500407	956000814
chrX	6746515	6772150	RAID5	5500408	956000816
chrX	6863187	6903351	RAID5	5500409	956000818
chrX	6908750	6961385	RAID5	5500410	956000820
chrX	7178913	7218537	RAID5	5500411	956000822
chrX	7433916	7548083	RAID5	5500412	956000824
chrX	7585699	7605344	RAID5	5500413	956000826
chrX	7786414	7862376	RAID5	5500414	956000828
chrX	7969433	8137497	RAID5	5500415	956000830
chrX	8574724	8615816	RAID5	5500416	956000832
chrX	8773221	8793147	RAID5	5500417	956000834
chrX	8802510	8972647	RAID5	5500418	956000836
chrX	9000117	9046365	RAID5	5500419	956000838
chrX	9150164	9213928	RAID5	5500420	956000840
chrX	9236833	9250472	RAID5	5500421	956000842
chrX	9342808	9445434	RAID5	5500422	956000844
chrX	9473519	9580849	RAID5	5500423	956000846
chrX	9903904	10010964	RAID5	5500424	956000848
chrX	10156224	10497387	RAID5	5500425	956000850
chrX	10603388	10736972	RAID5	5500426	956000852
chrX	10983268	11042936	RAID5	5500427	956000854
chrX	11218715	11318004	RAID5	5500428	956000856
chrX	11347892	11442571	RAID5	5500429	956000858
chrX	11452276	11614709	RAID5	5500430	956000860
chrX	11685893	11749225	RAID5	5500431	956000862
chrX	12439748	12579705	RAID5	5500432	956000864
chrX	12590649	12718526	RAID5	5500433	956000866
chrX	12981615	13106430	RAID5	5500434	956000868
chrX	13107770	13152721	RAID5	5500435	956000870
chrX	13164719	13266523	RAID5	5500436	956000872
chrX	13267708	13306254	RAID5	5500437	956000874
chrX	13505647	13548643	RAID5	5500438	956000876
chrX	13633163	13784283	RAID5	5500439	956000878
chrX	13786615	13890230	RAID5	5500440	956000880
chrX	14101901	14116569	RAID5	5500441	956000882
chrX	14525421	14644224	RAID5	5500442	956000884
chrX	14700878	14734814	RAID5	5500443	956000886
chrX	14830113	14939002	RAID5	5500444	956000888
chrX	15214312	15240386	RAID5	5500445	956000890
chrX	15343413	15548719	RAID5	5500446	956000892
chrX	15627567	15781426	RAID5	5500447	956000894
chrX	15783895	16035370	RAID5	5500448	956000896
chrX	16171461	16227671	RAID5	5500449	956000898
chrX	16315905	16352113	RAID5	5500450	956000900
chrX	16446895	16532296	RAID5	5500451	956000902
chrX	16533837	16590056	RAID5	5500452	956000904
chrX	16677155	16775048	RAID5	5500453	956000906
chrX	16971722	17054911	RAID5	5500454	956000908
chrX	17179560	17197146	RAID5	5500455	956000910
chrX	17377940	17426215	RAID5	5500456	956000912
chrX	17529588	17637915	RAID5	5500457	956000914
chrX	17759353	17805796	RAID5	5500458	956000916
chrX	17977717	18032149	RAID5	5500459	956000918
chrX	18133688	18210206	RAID5	5500460	956000920
chrX	18251891	18299403	RAID5	5500461	956000922
chrX	18393367	18410445	RAID5	5500462	956000924
chrX	18428350	18448356	RAID5	5500463	956000926
chrX	18527698	18552184	RAID5	5500464	956000928
chrX	19001086	19088106	RAID5	5500465	956000930
chrX	19090389	19171298	RAID5	5500466	956000932
chrX	19175152	19260204	RAID5	5500467	956000934
chrX	19473304	19508268	RAID5	5500468	956000936
chrX	19558582	19578096	RAID5	5500469	956000938
chrX	19721902	19797585	RAID5	5500470	956000940
chrX	20301210	20381798	RAID5	5500471	956000942
chrX	20898420	20926529	RAID5	5500472	956000944
chrX	21134769	21188243	RAID5	5500473	956000946
chrX	21194677	21245832	RAID5	5500474	956000948
chrX	21845835	21977477	RAID5	5500475	956000950
chrX	22241184	22271972	RAID5	5500476	956000952
